4452725,4437250,133387,188119.45559895688,3.874630939427412
4452775,4437600,140953,187951.2515077561,3.874630939427412
4452675,4437600,89326,187715.76578007505,3.874630939427412
4623900,4931000,128659,186489.53623088705,2.897246558310587
4453425,4437025,45577,185336.19244465345,3.857177646907468
4453475,4436975,97647,185336.19244465345,3.857177646907468
4453300,4437000,76790,185170.5658204849,3.857177646907468
4681550,4998125,175441,185170.1263287052,5.113814708343385
4592650,4872600,97880,184220.4587062435,2.4958208303518914
4593675,4875400,111562,183494.29125986443,2.5132741228718345
4612425,4912125,121166,182522.34833497347,2.687807048071268
4593675,4875625,150830,182292.16546681675,2.530727415391778
4446000,4424650,211614,181802.40915874945,3.543018381548489
4592300,4876075,166731,181547.4841953017,2.5132741228718345
4591550,4875750,48974,181362.07399867664,2.5132741228718345
4591825,4876425,134419,180960.35190598908,2.5132741228718345
4436300,4433500,55617,180180.22249428017,3.874630939427412
4592625,4872925,113091,179806.68051124192,2.4958208303518914
4592400,4873700,113463,179775.377119788,2.4958208303518914
4707700,5060500,66201,179647.817883658,3.28121899374934
4707725,5060425,56901,179647.33128212916,3.28121899374934
4444575,4425850,92271,178956.08662661523,3.822271061867582
4443575,4426275,147232,178836.39195911598,3.8048177693476384
4591350,4875375,70792,178797.2329453638,2.5132741228718345
4591300,4875375,83306,178766.3312459263,2.5132741228718345
4591175,4875400,63950,178642.72444817628,2.5132741228718345
4591125,4875450,71216,178580.92104930125,2.5132741228718345
4446400,4424125,138709,178335.42111290805,3.7873644768276953
4433650,4436675,153764,178010.4478296965,3.9095375244672974
4449200,4450400,77310,177969.80660869775,3.3335788713091694
4433500,4436675,92251,177871.4314705948,3.9095375244672974
4707700,5060300,63563,177826.4175677082,3.263765701229396
4444225,4423200,167228,177615.4431094681,3.7873644768276953
4627000,4997125,122577,177543.31694542457,3.193952531149623
4434525,4434800,188227,177388.03458034724,3.874630939427412
4627125,4996375,74606,176441.8073648269,3.193952531149623
4627025,4996400,88263,176316.63582157716,3.193952531149623
4435600,4433625,133518,176177.16115264577,3.612831551628262
4434900,4434625,97115,176176.96512370164,3.874630939427412
4451475,4409050,148290,176068.3494985122,3.4382986264288293
4435550,4433725,116208,176064.92852888233,3.612831551628262
4435375,4433825,75172,176064.92852888233,3.612831551628262
4435100,4434375,86093,176036.87037294148,3.612831551628262
4435275,4433925,88789,176008.81221700064,3.612831551628262
4435475,4433700,99131,175980.75406105976,3.612831551628262
4451375,4409025,123026,175963.7803228635,3.4382986264288293
4451250,4409025,112495,175833.06885330263,3.4382986264288293
4451125,4409050,118439,175780.78426547826,3.4382986264288293
4683300,5002625,152713,175614.2217067959,5.078908123303499
4458175,4454325,142632,175229.1779598939,3.351032163829113
4458125,4454300,138835,175178.06093015062,3.351032163829113
4439425,4460275,202889,174795.38472448674,3.543018381548489
4434250,4434775,142366,174539.35040922326,3.8920842319473543
4666625,4932425,182791,174299.58502885152,4.782202150464463
4636400,4993625,57200,173187.3472403338,3.0892327760299634
4636375,4994050,92481,173012.10707978415,3.0892327760299634
4447050,4405250,104436,171493.36200180213,3.420845333908886
4454250,4453900,118099,171369.84221427678,3.351032163829113
4454100,4452350,113414,171293.16666966188,3.351032163829113
4454100,4453900,100982,171216.49112504697,3.351032163829113
4454075,4452400,131037,171190.93261017534,3.351032163829113
4454775,4436225,76071,171068.88476086938,1.0471975511965976
4540400,4584350,173543,171011.1497339504,4.188790204786391
4454975,4436250,70037,170982.28222049095,1.0471975511965976
4455150,4436225,70925,170895.67968011252,1.0471975511965976
4436650,4432275,106818,170617.5075718852,3.595378259108319
4540000,4583850,103151,170462.66697822037,4.188790204786391
4436225,4432300,77342,170367.17213527818,3.595378259108319
4615375,4997000,83363,170172.5579595253,3.228859116189509
4653375,4915825,107517,169654.29278372595,5.270894341022875
4652750,4913875,150689,169613.67840589804,5.288347633542818
4444900,4407400,90242,169558.91831438043,3.4382986264288293
4652700,4913850,147987,169494.44207661448,5.288347633542818
4627250,4996000,54467,169125.7586722532,3.12413936106985
4627325,4995850,73995,169075.75105585097,3.12413936106985
4449625,4449150,96998,168879.42692937664,3.4033920413889427
4636450,4994175,120365,168802.83012319164,3.1066860685499065
4636350,4994175,95606,168702.7691687618,3.1066860685499065
4652450,4912200,172697,168169.76400101834,5.078908123303499
4657500,4917550,113009,167478.79624562134,5.201081170943102
4628525,4995275,85780,167404.42194219603,3.0892327760299634
4628625,4995425,70524,167404.42194219603,3.0892327760299634
4628550,4995375,72995,167354.35332489613,3.0892327760299634
4435475,4411375,138590,167102.5147230263,3.490658503988659
4460400,4391100,147946,166884.19696900982,3.6302848441482056
4460450,4391075,162181,166884.19696900982,3.6302848441482056
4653200,4911875,63619,166811.62466773443,5.288347633542818
4653275,4911800,94687,166722.19742077176,5.288347633542818
4460375,4390875,83580,166714.31146140653,3.6302848441482056
4434075,4413200,119415,166616.6037602446,3.5081117965086026
4433875,4413675,50285,166455.93201119904,3.5081117965086026
4434025,4413225,93364,166429.15338635808,3.5081117965086026
4433750,4413975,97498,166375.59613667623,3.5081117965086026
4459725,4390875,96140,166374.54044619994,3.6302848441482056
4432950,4416175,32073,166363.9840580019,3.5255650890285457
4433700,4413875,78440,166322.0388869944,3.5081117965086026
4433950,4413450,96678,166295.26026215346,3.5081117965086026
4431700,4417275,61616,166088.49096767933,3.822271061867582
4433300,4415900,34641,165955.85707612787,3.8048177693476384
4448975,4451475,94699,165925.87854661825,3.351032163829113
4433275,4416000,30973,165924.13162075105,3.8048177693476384
4596700,4919375,107055,165627.29451888337,2.670353755551324
