4477625,4254375,1,0
4477550,4254300,1,1
4477575,4254300,1,1
4477600,4254300,1,1
4477625,4254300,1,1
4477650,4254300,1,1
4477675,4254300,1,1
4477700,4254300,1,1
4477550,4254325,1,1
4477575,4254325,1,1
4477600,4254325,1,1
4477625,4254325,1,1
4477650,4254325,1,1
4477675,4254325,1,1
4477700,4254325,1,1
4477550,4254350,1,1
4477575,4254350,1,1
4477600,4254350,1,1
4477625,4254350,1,1
4477650,4254350,1,1
4477675,4254350,1,1
4477700,4254350,1,1
4477550,4254375,1,1
4477575,4254375,1,1
4477600,4254375,1,1
4477650,4254375,1,1
4477675,4254375,1,1
4477700,4254375,1,1
4477550,4254400,1,1
4477575,4254400,1,1
4477600,4254400,1,1
4477625,4254400,1,1
4477650,4254400,1,1
4477675,4254400,1,1
4477700,4254400,1,1
4477550,4254425,1,1
4477575,4254425,1,1
4477600,4254425,1,1
4477625,4254425,1,1
4477650,4254425,1,1
4477675,4254425,1,1
4477700,4254425,1,1
4477550,4254450,1,1
4477575,4254450,1,1
4477600,4254450,1,1
4477625,4254450,1,1
4477650,4254450,1,1
4477675,4254450,1,1
4477700,4254450,1,1
4460675,4252575,2,0
4460600,4252500,2,1
4460625,4252500,2,1
4460650,4252500,2,1
4460675,4252500,2,1
4460700,4252500,2,1
4460725,4252500,2,1
4460750,4252500,2,1
4460600,4252525,2,1
4460625,4252525,2,1
4460650,4252525,2,1
4460675,4252525,2,1
4460700,4252525,2,1
4460725,4252525,2,1
4460750,4252525,2,1
4460600,4252550,2,1
4460625,4252550,2,1
4460650,4252550,2,1
4460675,4252550,2,1
4460700,4252550,2,1
4460725,4252550,2,1
4460750,4252550,2,1
4460600,4252575,2,1
4460625,4252575,2,1
4460650,4252575,2,1
4460700,4252575,2,1
4460725,4252575,2,1
4460750,4252575,2,1
4460600,4252600,2,1
4460625,4252600,2,1
4460650,4252600,2,1
4460675,4252600,2,1
4460700,4252600,2,1
4460725,4252600,2,1
4460750,4252600,2,1
4460600,4252625,2,1
4460625,4252625,2,1
4460650,4252625,2,1
4460675,4252625,2,1
4460700,4252625,2,1
4460725,4252625,2,1
4460750,4252625,2,1
4460600,4252650,2,1
4460625,4252650,2,1
4460650,4252650,2,1
4460675,4252650,2,1
4460700,4252650,2,1
4460725,4252650,2,1
4460750,4252650,2,1
4449975,4208600,3,0
4449900,4208525,3,1
4449925,4208525,3,1
4449950,4208525,3,1
4449975,4208525,3,1
4450000,4208525,3,1
4450025,4208525,3,1
4450050,4208525,3,1
4449900,4208550,3,1
4449925,4208550,3,1
4449950,4208550,3,1
4449975,4208550,3,1
4450000,4208550,3,1
4450025,4208550,3,1
4450050,4208550,3,1
4449900,4208575,3,1
4449925,4208575,3,1
4449950,4208575,3,1
4449975,4208575,3,1
4450000,4208575,3,1
4450025,4208575,3,1
4450050,4208575,3,1
4449900,4208600,3,1
4449925,4208600,3,1
4449950,4208600,3,1
4450000,4208600,3,1
4450025,4208600,3,1
4450050,4208600,3,1
4449900,4208625,3,1
4449925,4208625,3,1
4449950,4208625,3,1
4449975,4208625,3,1
4450000,4208625,3,1
4450025,4208625,3,1
4450050,4208625,3,1
4449900,4208650,3,1
4449925,4208650,3,1
4449950,4208650,3,1
4449975,4208650,3,1
4450000,4208650,3,1
4450025,4208650,3,1
4450050,4208650,3,1
4449900,4208675,3,1
4449925,4208675,3,1
4449950,4208675,3,1
4449975,4208675,3,1
4450000,4208675,3,1
4450025,4208675,3,1
4450050,4208675,3,1
4683725,4916750,4,0
4683650,4916675,4,1
4683675,4916675,4,1
4683700,4916675,4,1
4683725,4916675,4,1
4683750,4916675,4,1
4683775,4916675,4,1
4683800,4916675,4,1
4683650,4916700,4,1
4683675,4916700,4,1
4683700,4916700,4,1
4683725,4916700,4,1
4683750,4916700,4,1
4683775,4916700,4,1
4683800,4916700,4,1
4683650,4916725,4,1
4683675,4916725,4,1
4683700,4916725,4,1
4683725,4916725,4,1
4683750,4916725,4,1
4683775,4916725,4,1
4683800,4916725,4,1
4683650,4916750,4,1
4683675,4916750,4,1
4683700,4916750,4,1
4683750,4916750,4,1
4683775,4916750,4,1
4683800,4916750,4,1
4683650,4916775,4,1
4683675,4916775,4,1
4683700,4916775,4,1
4683725,4916775,4,1
4683750,4916775,4,1
4683775,4916775,4,1
4683800,4916775,4,1
4683650,4916800,4,1
4683675,4916800,4,1
4683700,4916800,4,1
4683725,4916800,4,1
4683750,4916800,4,1
4683775,4916800,4,1
4683800,4916800,4,1
4683650,4916825,4,1
4683675,4916825,4,1
4683700,4916825,4,1
4683725,4916825,4,1
4683750,4916825,4,1
4683775,4916825,4,1
4683800,4916825,4,1
4783050,5024875,5,0
4782975,5024800,5,1
4783000,5024800,5,1
4783025,5024800,5,1
4783050,5024800,5,1
4783075,5024800,5,1
4783100,5024800,5,1
4783125,5024800,5,1
4782975,5024825,5,1
4783000,5024825,5,1
4783025,5024825,5,1
4783050,5024825,5,1
4783075,5024825,5,1
4783100,5024825,5,1
4783125,5024825,5,1
4782975,5024850,5,1
4783000,5024850,5,1
4783025,5024850,5,1
4783050,5024850,5,1
4783075,5024850,5,1
4783100,5024850,5,1
4783125,5024850,5,1
4782975,5024875,5,1
4783000,5024875,5,1
4783025,5024875,5,1
4783075,5024875,5,1
4783100,5024875,5,1
4783125,5024875,5,1
4782975,5024900,5,1
4783000,5024900,5,1
4783025,5024900,5,1
4783050,5024900,5,1
4783075,5024900,5,1
4783100,5024900,5,1
4783125,5024900,5,1
4782975,5024925,5,1
4783000,5024925,5,1
4783025,5024925,5,1
4783050,5024925,5,1
4783075,5024925,5,1
4783100,5024925,5,1
4783125,5024925,5,1
4782975,5024950,5,1
4783000,5024950,5,1
4783025,5024950,5,1
4783050,5024950,5,1
4783075,5024950,5,1
4783100,5024950,5,1
4783125,5024950,5,1
